"","GeneSymbol","log2FoldChange","pvalue","padj"
"164","PTPRF",0.0181844408042717,0.91118077239368,0.978587905874942
"165","COL6A3",0.379001237197561,0.197858143666572,0.624873092035657
"166","S100A11",-0.377900626064704,0.0399650759837675,0.357482884390235
"167","FOS",0.268564825998832,0.376745012913849,0.771588960934994
"168","EGR1",0.338793136024406,0.249630230211512,0.671990382749472
"169","CLDN4",-0.14894596114215,0.411384400877659,0.790815939414538
"170","RPS12",-0.355532032457371,0.0638499079096056,0.421706368519256
"171","YBX1",0.0027531428319846,0.983768287276784,0.996026877631606
"172","PFN1",-0.140645825240625,0.374711645068177,0.770866404921132
"173","JUNB",-0.177802867168456,0.408785782560768,0.789327562527938
"174","ASS1",-0.314921648915154,0.101720796677536,0.497483863076449
"175","RPS27A",-0.424412857786281,0.0179028371191787,0.269016176817288
"176","TECR",-0.240514188982719,0.202343510076966,0.629249888987318
"177","DHCR24",-0.149107800910283,0.478024733044767,0.826131632490273
"178","OVGP1",-3.40186385268149,3.18260335911004e-11,7.23087483189801e-07
"179","RPL24",-0.209551409474721,0.248943097366152,0.671131492721613
"180","IGF2",0.334798371341198,0.567836491532711,0.869590790891664
"181","EMP2",-0.374528768061937,0.0271421225243159,0.309772232713421
"182","LTBP4",0.0179559231655646,0.945693261045106,0.987858993988472
"183","RPS13",-0.384062888680062,0.0456745077632704,0.376806396652688
"184","SLC2A1",0.354374807708558,0.0977853186619669,0.49241076986226
"185","JUP",0.149469047886121,0.306479421096085,0.718169210138979
"186","GSTP1",-0.369185139328211,0.0250728036565223,0.299561209896526
"187","LAMA5",0.273336943124668,0.131482555922577,0.542735474759645
"188","SLC44A2",0.125189769647228,0.454811545399945,0.812618026727016
"189","CFL1",-0.25362951278041,0.030328730267911,0.324893628472447
"190","UCP2",-0.420895468376468,0.0460178460226637,0.377077529511394
"191","PPIA",-0.256770845461796,0.0949927406170807,0.488549433490129
"192","KRT7",-0.0172037646460277,0.937865752299205,0.985731746380306
"193","ATP5F1B",-0.271960679273157,0.0171035956359007,0.264819763947022
"194","HMGA1",-0.0855931870134571,0.607047017634635,0.886284073983493
"195","RPL41",-0.426538886210746,0.0139849378370185,0.248721458464533
"196","APOE",0.0845060496538199,0.718277670836958,0.928550138345131
"197","EIF4G2",-0.031325547569627,0.790384728246935,0.944388168591658
"198","BST2",-0.565989685050932,0.0242151869259258,0.29483871755468
"199","TIMP1",-0.445083289277097,0.0310596991406341,0.326248897122148
"200","MYL9",0.111074069154054,0.610567218057062,0.888220856523326
"201","RPL23",-0.164645139042979,0.371046043202672,0.768210594283914
"202","MTATP6P1",0.0489630020567345,0.82482609604569,0.955601627578317
"203","RPL21",-0.356702711332785,0.0680196398842177,0.433250972293083
"204","HLA-A",-0.218620172588929,0.274114031118727,0.690847256206023
"205","ITM2B",-0.126380436275453,0.395184773806678,0.782057030256557
"206","APP",0.165539748950149,0.238580194218003,0.663875323041399
"207","SRRM2",0.181522025419126,0.185364889609781,0.609830624375069
"208","ATN1",-0.0092409563776018,0.950862716200762,0.987886995379826
"209","AEBP1",0.59117486462351,0.0363522248131889,0.344357981370885
"210","PKN1",0.253772025482946,0.23573019208763,0.661633103796624
"211","PRKCSH",-0.159385726170392,0.293648447748365,0.70763345555247
"212","CCT2",-0.118242059108761,0.227628727597067,0.655170605781802
"213","MMP7",-0.267198697736156,0.532811151871735,0.854085647051193
"214","HSP90B1",-0.325503409683255,0.0025372578557677,0.138907225260342
"215","TAGLN2",-0.105884742784242,0.418281993149845,0.795060833303843
"216","SERPINH1",0.0238646181466967,0.881857634405552,0.971266197687118
"217","JUND",-0.105799944712401,0.525311134428639,0.849928303243256
"218","RPL36",-0.44175663633967,0.0338581042642314,0.335900077194222
"219","CP",-0.0642005189398395,0.82213447526385,0.95525910855236
"220","SERPING1",0.0185077425403369,0.916472789697306,0.980267042207951
"221","PHB2",-0.363982190258949,0.0115448997303243,0.231509374998207
"222","MT-ND4L",-0.00149046966493205,0.991642006481889,0.998158523806661
"223","TM4SF1",0.0866281669574421,0.685356289974397,0.917289716942398
"224","CST3",-0.24052415019676,0.135549424504883,0.548627883932362
"225","SCNN1A",-0.119673395033345,0.494202035994981,0.834195412912776
"226","GPX1",-0.321667696977097,0.055554905267021,0.401168772015311
"227","RNASE1",-0.979622651316305,1.50382636926528e-05,0.0106771672217835
"228","LUM",0.217652804260201,0.556696804819574,0.865481826023041
"229","TACSTD2",-0.397034046733929,0.148583128198851,0.564081257253552
"230","RPL34",-0.188014404263564,0.366833460353629,0.764655337809852
"231","DSP",0.340818196850771,0.0797879824073936,0.459281216188493
"232","CANX",-0.0725030569290168,0.553135489810427,0.863431008484568
